,"(0, 0, 5)","(0, 1, 4)","(0, 2, 3)","(0, 3, 2)","(0, 4, 1)","(0, 5, 0)","(1, 0, 4)","(1, 1, 3)","(1, 2, 2)","(1, 3, 1)","(1, 4, 0)","(2, 0, 3)","(2, 1, 2)","(2, 2, 1)","(2, 3, 0)","(3, 0, 2)","(3, 1, 1)","(3, 2, 0)","(4, 0, 1)","(4, 1, 0)","(5, 0, 0)",player,iteration
0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,A,0
1,-2.0,-2.0,-1.0,-1.0,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,-2.0,-1.0,-2.0,-2.0,-2.0,B,0
2,-1.0,0.0,-1.0,-2.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,A,1
3,-2.0,-1.0,1.0,0.0,-2.0,-2.0,-1.0,0.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,0.0,-1.0,1.0,-2.0,-1.0,-2.0,B,1
4,-2.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0,A,2
5,-3.0,-2.0,1.0,1.0,-1.0,-2.0,-2.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,1.0,0.0,-1.0,1.0,-1.0,-1.0,-2.0,B,2
6,-3.0,-2.0,-1.0,0.0,1.0,-1.0,-2.0,-2.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,0.0,1.0,2.0,1.0,3.0,1.0,0.0,A,3
7,-4.0,-3.0,1.0,2.0,0.0,-2.0,-3.0,-2.0,0.0,1.0,-1.0,-1.0,-2.0,0.0,1.0,0.0,-1.0,1.0,0.0,-1.0,-2.0,B,3
8,-4.0,-3.0,-2.0,0.0,1.0,-2.0,-2.0,-2.0,-1.0,1.0,-1.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,3.0,0.0,-1.0,A,4
9,-4.0,-2.0,2.0,3.0,0.0,-3.0,-3.0,-1.0,1.0,1.0,-2.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,-2.0,B,4
10,-5.0,-4.0,-2.0,0.0,0.0,-3.0,-2.0,-2.0,-1.0,1.0,-1.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,2.0,-1.0,-2.0,A,5
11,-4.0,-1.0,3.0,3.0,-1.0,-4.0,-3.0,0.0,1.0,0.0,-3.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,-2.0,B,5
12,-4.0,-3.0,-1.0,1.0,1.0,-2.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,1.0,2.0,3.0,1.0,0.0,2.0,-1.0,-2.0,A,6
